"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 04 11:07:21 GMT 2025","Fri Jul 04 11:07:21 GMT 2025","33","","api.PostTodoTest","","api.PostTodoTest","userCanBeInformedAboutTooLongText","userCanBeInformedAboutTooLongText()",""
"passed","Fri Jul 04 11:07:19 GMT 2025","Fri Jul 04 11:07:19 GMT 2025","52","","api.DeleteTodoTest","","api.DeleteTodoTest","userCanNotDeleteNonExistentTodo","userCanNotDeleteNonExistentTodo()",""
"failed","Fri Jul 04 11:07:19 GMT 2025","Fri Jul 04 11:07:19 GMT 2025","23","","api.DeleteTodoTest","","api.DeleteTodoTest","userCanNotDeleteTodoWithMalformedId","userCanNotDeleteTodoWithMalformedId()",""
"passed","Fri Jul 04 11:07:21 GMT 2025","Fri Jul 04 11:07:21 GMT 2025","26","","api.PostTodoTest","","api.PostTodoTest","userCanCreateValidTodo","userCanCreateValidTodo()",""
"passed","Fri Jul 04 11:07:21 GMT 2025","Fri Jul 04 11:07:21 GMT 2025","25","","api.GetTodoTest","","api.GetTodoTest","userCanReadTodo","userCanReadTodo()",""
"passed","Fri Jul 04 11:07:19 GMT 2025","Fri Jul 04 11:07:19 GMT 2025","48","","api.DeleteTodoTest","","api.DeleteTodoTest","userCanDeleteTodo","userCanDeleteTodo()",""
"passed","Fri Jul 04 11:07:21 GMT 2025","Fri Jul 04 11:07:21 GMT 2025","58","","api.GetTodoTest","","api.GetTodoTest","userCanReadTodoWithQueryParams","userCanReadTodoWithQueryParams()",""
"passed","Fri Jul 04 11:07:18 GMT 2025","Fri Jul 04 11:07:19 GMT 2025","300","","api.PutTodoTest","","api.PutTodoTest","userCanUpdateTodoWithEmptyText","userCanUpdateTodoWithEmptyText()",""
"passed","Fri Jul 04 11:07:21 GMT 2025","Fri Jul 04 11:07:23 GMT 2025","1378","","api.PostPerformanceTest","","api.PostPerformanceTest","userCanEstimatePerformanceForPOST","userCanEstimatePerformanceForPOST()",""
"passed","Fri Jul 04 11:07:19 GMT 2025","Fri Jul 04 11:07:21 GMT 2025","1830","","api.GetTodoTest","","api.GetTodoTest","userCanReadTodoWithLargeLimit","userCanReadTodoWithLargeLimit()",""
"passed","Fri Jul 04 11:07:21 GMT 2025","Fri Jul 04 11:07:21 GMT 2025","39","","api.PostTodoTest","","api.PostTodoTest","userCanBeInformedOnDuplicateId","userCanBeInformedOnDuplicateId()",""
"failed","Fri Jul 04 11:07:16 GMT 2025","Fri Jul 04 11:07:18 GMT 2025","1992","","api.PutTodoTest","","api.PutTodoTest","userCanNotUpdateTodoWithIncompleteBody","userCanNotUpdateTodoWithIncompleteBody()",""
"passed","Fri Jul 04 11:07:19 GMT 2025","Fri Jul 04 11:07:19 GMT 2025","76","","api.DeleteTodoTest","","api.DeleteTodoTest","userCanNotDeleteTodoWithoutAuthorization","userCanNotDeleteTodoWithoutAuthorization()",""
"passed","Fri Jul 04 11:07:21 GMT 2025","Fri Jul 04 11:07:21 GMT 2025","21","","api.PostTodoTest","","api.PostTodoTest","userCanBeInformedAboutMissedField","userCanBeInformedAboutMissedField()",""
"passed","Fri Jul 04 11:07:19 GMT 2025","Fri Jul 04 11:07:19 GMT 2025","82","","api.PutTodoTest","","api.PutTodoTest","userCanUpdateTodo","userCanUpdateTodo()",""
"passed","Fri Jul 04 11:07:21 GMT 2025","Fri Jul 04 11:07:21 GMT 2025","27","","api.GetTodoTest","","api.GetTodoTest","userCanNotReadTodoWithNegativeLimit","userCanNotReadTodoWithNegativeLimit()",""
"passed","Fri Jul 04 11:07:19 GMT 2025","Fri Jul 04 11:07:19 GMT 2025","60","","api.DeleteTodoTest","","api.DeleteTodoTest","userCanNotDeleteTodoWithInvalidCredentials","userCanNotDeleteTodoWithInvalidCredentials()",""
"passed","Fri Jul 04 11:07:21 GMT 2025","Fri Jul 04 11:07:21 GMT 2025","24","","api.PostTodoTest","","api.PostTodoTest","userCanCreateTodoWithEmptyText","userCanCreateTodoWithEmptyText()",""
"passed","Fri Jul 04 11:07:19 GMT 2025","Fri Jul 04 11:07:19 GMT 2025","18","","api.PutTodoTest","","api.PutTodoTest","userCanNotUpdateNonExistentTodo","userCanNotUpdateNonExistentTodo()",""
"passed","Fri Jul 04 11:07:19 GMT 2025","Fri Jul 04 11:07:19 GMT 2025","59","","api.GetTodoTest","","api.GetTodoTest","userCanReadTodoWithLimitZero","userCanReadTodoWithLimitZero()",""
"failed","Fri Jul 04 11:07:19 GMT 2025","Fri Jul 04 11:07:19 GMT 2025","58","","api.PutTodoTest","","api.PutTodoTest","userCanNotUpdateTodoWithInvalidTypeFormat","userCanNotUpdateTodoWithInvalidTypeFormat()",""
